player_name,player_id,season_year,game_id,game_date,game_index,home_away,opponent,pts,fga,min,fg_pct,plus_minus,next_pts,next_fga,next_min,next_fg_pct,rolling_pts_avg_3,baseline_pts,pts_diff_from_baseline,performance_label,streak_type,streak_length
LeBron James,2544,2023-24,0022300061,2023-10-24,1,away,DEN,21,16,29.01,0.625,7,21.0,14.0,35.0,0.5,21.0,25.7,-4.7,normal,normal,1
LeBron James,2544,2023-24,0022300076,2023-10-26,2,home,PHX,21,14,35.0,0.5,22,27.0,19.0,39.08,0.579,21.0,25.7,-4.7,normal,normal,2
LeBron James,2544,2023-24,0022300100,2023-10-29,3,away,SAC,27,19,39.08,0.579,-5,19.0,17.0,32.78,0.412,23.0,25.7,1.3,normal,normal,3
LeBron James,2544,2023-24,0022300111,2023-10-30,4,home,ORL,19,17,32.78,0.412,5,35.0,19.0,42.48,0.684,22.3,25.7,-6.7,normal,normal,4
LeBron James,2544,2023-24,0022300127,2023-11-01,5,home,LAC,35,19,42.48,0.684,6,24.0,15.0,35.22,0.533,27.0,25.7,9.3,hot,hot,1
LeBron James,2544,2023-24,0022300134,2023-11-04,6,away,ORL,24,15,35.22,0.533,12,30.0,23.0,37.4,0.565,26.0,25.7,-1.7,normal,normal,1
LeBron James,2544,2023-24,0022300150,2023-11-06,7,away,MIA,30,23,37.4,0.565,6,18.0,13.0,27.2,0.538,29.7,25.7,4.3,normal,normal,2
LeBron James,2544,2023-24,0022300163,2023-11-08,8,away,HOU,18,13,27.2,0.538,-24,32.0,17.0,36.38,0.647,24.0,25.7,-7.7,normal,normal,3
LeBron James,2544,2023-24,0022300015,2023-11-10,9,away,PHX,32,17,36.38,0.647,2,16.0,11.0,22.65,0.545,26.7,25.7,6.3,normal,normal,4
LeBron James,2544,2023-24,0022300026,2023-11-14,10,home,MEM,16,11,22.65,0.545,15,28.0,15.0,35.3,0.6,22.0,25.7,-9.7,cold,cold,1
LeBron James,2544,2023-24,0022300198,2023-11-15,11,home,SAC,28,15,35.3,0.6,0,35.0,22.0,34.53,0.591,25.3,25.7,2.3,normal,normal,1
LeBron James,2544,2023-24,0022300036,2023-11-17,12,away,POR,35,22,34.53,0.591,18,37.0,19.0,39.6,0.737,26.3,25.7,9.3,hot,hot,1
LeBron James,2544,2023-24,0022300216,2023-11-19,13,home,HOU,37,19,39.6,0.737,2,17.0,10.0,24.02,0.6,33.3,25.7,11.3,hot,hot,2
LeBron James,2544,2023-24,0022300042,2023-11-21,14,home,UTA,17,10,24.02,0.6,14,26.0,19.0,36.02,0.474,29.7,25.7,-8.7,cold,cold,1
LeBron James,2544,2023-24,0022300238,2023-11-22,15,home,DAL,26,19,36.02,0.474,7,22.0,23.0,35.59,0.348,26.7,25.7,0.3,normal,normal,1
LeBron James,2544,2023-24,0022300242,2023-11-25,16,away,CLE,22,23,35.59,0.348,2,18.0,12.0,29.54,0.667,21.7,25.7,-3.7,normal,normal,2
LeBron James,2544,2023-24,0022300255,2023-11-27,17,away,PHI,18,12,29.54,0.667,-30,25.0,19.0,28.7,0.474,22.0,25.7,-7.7,normal,normal,3
LeBron James,2544,2023-24,0022300258,2023-11-29,18,away,DET,25,19,28.7,0.474,26,21.0,12.0,35.06,0.583,21.7,25.7,-0.7,normal,normal,4
LeBron James,2544,2023-24,0022300271,2023-11-30,19,away,OKC,21,12,35.06,0.583,-18,16.0,17.0,35.37,0.412,21.3,25.7,-4.7,normal,normal,5
LeBron James,2544,2023-24,0022300291,2023-12-02,20,home,HOU,16,17,35.37,0.412,16,31.0,25.0,40.17,0.48,20.7,25.7,-9.7,cold,cold,1
LeBron James,2544,2023-24,0022301203,2023-12-05,21,home,PHX,31,25,40.17,0.48,12,30.0,12.0,22.53,0.75,22.7,25.7,5.3,normal,normal,1
LeBron James,2544,2023-24,0022301230,2023-12-07,22,home,NOP,30,12,22.53,0.75,36,33.0,27.0,40.12,0.519,25.7,25.7,4.3,normal,normal,2
LeBron James,2544,2023-24,0022300306,2023-12-12,23,away,DAL,33,27,40.12,0.519,-4,23.0,17.0,35.94,0.412,31.3,25.7,7.3,normal,normal,3
LeBron James,2544,2023-24,0022300331,2023-12-15,24,away,SAS,23,17,35.94,0.412,-28,25.0,23.0,39.08,0.435,28.7,25.7,-2.7,normal,normal,4
LeBron James,2544,2023-24,0022300359,2023-12-18,25,home,NYK,25,23,39.08,0.435,-13,25.0,18.0,36.98,0.556,27.0,25.7,-0.7,normal,normal,5
LeBron James,2544,2023-24,0022300370,2023-12-20,26,away,CHI,25,18,36.98,0.556,-11,40.0,20.0,37.31,0.65,24.3,25.7,-0.7,normal,normal,6
LeBron James,2544,2023-24,0022300397,2023-12-23,27,away,OKC,40,20,37.31,0.65,10,16.0,14.0,36.78,0.357,30.0,25.7,14.3,hot,hot,1
LeBron James,2544,2023-24,0022300403,2023-12-25,28,home,BOS,16,14,36.78,0.357,-11,17.0,13.0,24.72,0.538,27.0,25.7,-9.7,cold,cold,1
LeBron James,2544,2023-24,0022300428,2023-12-28,29,home,CHA,17,13,24.72,0.538,1,26.0,21.0,38.77,0.476,24.3,25.7,-8.7,cold,cold,2
